date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:00	3696/3696	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2019:52:46%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/logo-construction-small.png	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/logo-construction-small.png	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:00	5197/5197	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2019:52:46%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/logo-construction.png	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/logo-construction.png	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:01	20873/20873	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202017%2019:45:01%20GMT	http://preview.oklerthemes.com/porto/5.7.2/demo-construction-company.html	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/demo-construction-company.html	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:01	17333/17333	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202017%2019:45:01%20GMT	http://preview.oklerthemes.com/porto/5.7.2/demo-construction-services.html	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/demo-construction-services.html	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:01	17875/17875	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202017%2019:45:01%20GMT	http://preview.oklerthemes.com/porto/5.7.2/demo-construction-services-detail.html	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/demo-construction-services-detail.html	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:02	16235/16235	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202017%2019:45:01%20GMT	http://preview.oklerthemes.com/porto/5.7.2/demo-construction-projects.html	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/demo-construction-projects.html	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:02	12974/12974	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202017%2019:45:01%20GMT	http://preview.oklerthemes.com/porto/5.7.2/demo-construction-blog.html	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/demo-construction-blog.html	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:02	16108/16108	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202017%2019:45:01%20GMT	http://preview.oklerthemes.com/porto/5.7.2/demo-construction-contact.html	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/demo-construction-contact.html	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:04	1480/1480	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2019:47:48%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/dotted-line-angle.png	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/dotted-line-angle.png	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:05	1876/1876	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2019:54:47%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/ground-construction.png	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/ground-construction.png	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:05	2193/2193	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2019:54:47%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/construction.png	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/construction.png	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:06	2246/2246	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2019:54:47%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/painting.png	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/painting.png	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:06	1800/1800	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2019:54:47%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/plumbing.png	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/icons/plumbing.png	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:28	189797/189797	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2019:54:50%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/slides/slide-construction-1.jpg	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/slides/slide-construction-1.jpg	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:31	178426/178426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2019:54:52%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/slides/slide-construction-2.jpg	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/slides/slide-construction-2.jpg	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:34	172660/172660	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2019:54:44%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/gallery/construction-gallery-1.jpg	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/gallery/construction-gallery-1.jpg	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:47	252364/252364	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2019:54:45%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/gallery/construction-gallery-2.jpg	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/gallery/construction-gallery-2.jpg	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
21:36:54	145769/145769	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2019:54:46%20GMT	http://preview.oklerthemes.com/porto/5.7.2/img/demos/construction/gallery/construction-gallery-4.jpg	C:/crmhome/as/preview.oklerthemes.com/porto/5.7.2/img/demos/construction/gallery/construction-gallery-4.jpg	(from http://preview.oklerthemes.com/porto/5.7.2/demo-construction.html)
